SubstitutionRate,Theta
0.00024312 ,15.55968
0.00010276 ,6.57664
8.4313022e-05 ,5.396033407999999
0.00064173 ,41.070719999999994
0.00023007 ,14.72448
8.98393394e-05 ,5.7497177216
0.00044229 ,28.306560000000005
2.16507586e-05 ,1.3856485504000002
5.46552612e-05 ,3.4979367168000004
0.00074255 ,47.5232
9.23229557e-05 ,5.9086691648
0.00021766 ,13.930240000000001
0.00041714 ,26.69696
0.0001836 ,11.750399999999999
0.00024766 ,15.850240000000003
0.000589 ,37.696
8.11498727e-05 ,5.1935918528
0.00029488 ,18.872320000000002
0.00065985 ,42.2304
0.00054304 ,34.75456
0.0007614 ,48.7296
0.00031547 ,20.19008
0.00048647 ,31.13408
0.00066647 ,42.65408
0.0004782 ,30.6048
0.00045085 ,28.8544
0.00039179 ,25.074559999999998
5.12554085e-05 ,3.2803461439999997
4.6911959e-05 ,3.002365376
0.00021656 ,13.859840000000002
0.00064046 ,40.98944
0.00075761 ,48.48704000000001
0.00034386 ,22.00704
0.00050093 ,32.05952
0.00062439 ,39.96096
0.00047664 ,30.504960000000004
0.00057487 ,36.79168
0.00012995 ,8.3168
0.00050899 ,32.57536
0.00065803 ,42.11392
6.85004415e-06 ,0.4384028256
0.00053368 ,34.15552
2.44963803e-05 ,1.5677683392
0.00010503 ,6.72192
0.00025174 ,16.11136
0.00027331 ,17.49184
0.00028731 ,18.38784
0.00044259 ,28.32576
0.00034166 ,21.866239999999998
0.00038896 ,24.89344
0.00014651 ,9.37664
3.60153664e-05 ,2.3049834496000003
0.00037358 ,23.909119999999998
4.48225819e-05 ,2.8686452415999995
0.00029273 ,18.73472
0.00042257 ,27.044479999999997
0.00040743 ,26.07552
0.000234 ,14.976
0.00076153 ,48.73792
0.00021177 ,13.553279999999999
0.00020799 ,13.311359999999999
0.00051425 ,32.912
0.00058325 ,37.328
0.00016374 ,10.47936
0.00039974 ,25.58336
0.00064952 ,41.56928
9.62269612e-05 ,6.158525516799999
0.00034999 ,22.39936
2.94626344e-05 ,1.8856086016
0.00077135 ,49.3664
1.53342613e-05 ,0.9813927232000001
0.00012889 ,8.24896
0.00011522 ,7.374079999999999
0.00057581 ,36.851839999999996
0.00017758 ,11.36512
0.00019376 ,12.40064
0.0002297 ,14.700800000000001
0.00052997 ,33.91808
0.00072127 ,46.16128
0.00039762 ,25.44768
0.00073198 ,46.84672
0.00075391 ,48.25024
0.00021618 ,13.83552
0.00029074 ,18.60736
8.07980903e-05 ,5.171077779200001
0.0001335 ,8.543999999999999
0.00070602 ,45.18528
0.00050629 ,32.402559999999994
0.00025621 ,16.39744
0.00028717 ,18.37888
0.00076533 ,48.981120000000004
0.00043246 ,27.67744
0.00034449 ,22.04736
7.06970179e-05 ,4.5246091455999995
0.00052887 ,33.84768
0.0006639 ,42.4896
0.00053573 ,34.28672
0.00042554 ,27.234560000000002
0.00035877 ,22.96128
0.00050939 ,32.60096
0.00051741 ,33.11424
0.00013352 ,8.54528
0.00073419 ,46.98816
0.00018494 ,11.83616
0.00051022 ,32.65408
0.00063933 ,40.917120000000004
0.00014492 ,9.27488
5.40122058e-05 ,3.4567811711999994
0.00036189 ,23.16096
3.35971693e-05 ,2.1502188352
0.0001152 ,7.3728
0.00012643 ,8.09152
0.00019732 ,12.62848
0.00020759 ,13.28576
2.80086367e-05 ,1.7925527488000002
0.00030521 ,19.53344
0.00014288 ,9.144319999999999
0.00025689 ,16.44096
0.00062767 ,40.170880000000004
0.0005574 ,35.6736
0.00075102 ,48.06528
0.00025204 ,16.13056
0.00014107 ,9.02848
0.00011461 ,7.33504
0.00010252 ,6.56128
0.00038659 ,24.74176
0.00059601 ,38.14464
0.00054936 ,35.159040000000005
0.00014083 ,9.013119999999999
0.00010277 ,6.57728
0.00076821 ,49.165440000000004
0.00017495 ,11.1968
1.49957351e-05 ,0.9597270464000001
0.0004286 ,27.430400000000002
0.00010585 ,6.7744
0.00061779 ,39.538560000000004
0.00033845 ,21.660800000000002
0.00060869 ,38.95616
0.00057346 ,36.70144
0.00041684 ,26.67776
0.00013446 ,8.605440000000002
0.00059705 ,38.2112
0.00063158 ,40.421119999999995
0.00068474 ,43.823359999999994
0.00031116 ,19.91424
8.71324862e-05 ,5.5764791168
0.00044851 ,28.70464
0.00015419 ,9.868160000000001
2.3734544e-05 ,1.5190108160000002
0.00010136 ,6.48704
0.00060137 ,38.487680000000005
0.00068606 ,43.90784
0.00049717 ,31.818880000000004
0.00019919 ,12.748159999999999
0.00051369 ,32.876160000000006
0.00054745 ,35.0368
8.43293197e-05 ,5.3970764608
0.00048837 ,31.255679999999998
0.00013344 ,8.54016
6.29610199e-05 ,4.0295052736
0.00013313 ,8.52032
0.00064028 ,40.97792
0.00056265 ,36.0096
0.00019282 ,12.340479999999998
0.00043842 ,28.05888
0.00028507 ,18.24448
0.00031374 ,20.07936
0.0003649 ,23.353599999999997
0.00016792 ,10.74688
0.00073944 ,47.32416
